CodeSoc,NomSoc,RueSoc,CPSoc,VilleSoc
10112206654382,Nîmes Industries,168 Rue du Général de Gaulle,30000,Nîmes
10160678844935,Perpignan Services,47 Avenue des Champs-Élysées,66000,Perpignan
14311775001461,Rennes Tech,96 Avenue Victor Hugo,35000,Rennes
15075790748492,Marseille Consulting,100 Rue de Paris,13001,Marseille
16675263696923,Brest Consulting,194 Rue Nationale,29200,Brest
17714329814317,Annecy Services,197 Rue de Paris,74000,Annecy
19688042759676,Toulon Logistics,126 Rue du Général de Gaulle,83000,Toulon
21806475533626,Calais Tech,154 Avenue Victor Hugo,62100,Calais
22158649305494,Marseille Logistics,71 Rue de la Paix,13001,Marseille
23412772661527,Grenoble Services,215 Rue de Paris,38000,Grenoble
26060670202394,Quimper Group,70 Avenue Victor Hugo,29000,Quimper
27276983771370,Vannes Consulting,208 Avenue des Champs-Élysées,56000,Vannes
29378224529391,Metz Tech,188 Rue de la Paix,57000,Metz
31935952274312,Amiens Services,146 Rue Nationale,80000,Amiens
32694013584309,Rouen Tech,43 Avenue Victor Hugo,76000,Rouen
35104074927247,Perpignan Tech,87 Rue du Général de Gaulle,66000,Perpignan
52308740478567,Besançon Industries,156 Rue de Paris,25000,Besançon
52721301541202,Bastia Consulting,129 Rue des Fleurs,20200,Bastia
52809577153890,Angers Group,101 Rue de Paris,49000,Angers
54771634497881,Avignon Logistics,9 Avenue Victor Hugo,84000,Avignon
55684391399192,Lyon Logistics,163 Avenue des Champs-Élysées,69001,Lyon
56301570407756,Metz Logistics,67 Rue des Fleurs,57000,Metz
57198241195598,Toulouse Consulting,172 Place de la Liberté,31000,Toulouse
60362039920918,Boulogne-Billancourt Consulting,177 Place de la Liberté,92100,Boulogne-Billancourt
60918513369771,Dijon Group,85 Avenue des Champs-Élysées,21000,Dijon
62432903831124,Bastia Group,72 Rue Nationale,20200,Bastia
63323967074368,Vannes Industries,128 Place de la Liberté,56000,Vannes
65566249373348,Orléans Consulting,87 Rue des Fleurs,45000,Orléans
66067774000364,Saint-Denis Tech,44 Rue de la Paix,93200,Saint-Denis
70723576553460,Nice Logistics,110 Rue du Général de Gaulle,06000,Nice
72777356436755,Montpellier Logistics,10 Avenue Victor Hugo,34000,Montpellier
74570847696182,Amiens Industries,84 Avenue des Champs-Élysées,80000,Amiens
80767867500085,Nevers Services,188 Rue Nationale,58000,Nevers
86833018343743,Angers Logistics,112 Rue du Général de Gaulle,49000,Angers
89557732603090,Avignon Tech,19 Rue de la Paix,84000,Avignon
90444751464970,Tours Consulting,169 Avenue Victor Hugo,37000,Tours
91353961217109,Rouen Services,111 Rue des Fleurs,76000,Rouen
93575605313660,Perpignan Industries,219 Boulevard de la République,66000,Perpignan
94532380814008,Lille Services,52 Avenue des Champs-Élysées,59000,Lille
94904108537244,Nevers Tech,47 Avenue Victor Hugo,58000,Nevers
