CodeSoc,NomSoc,RueSoc,CPSoc,VilleSoc
10112206654382,Nîmes Industries,168 Rue du Général de Gaulle,49100,Nîmes
10160678844935,Perpignan Services,47 Avenue des Champs-Élysées,13300,Perpignan
14311775001461,Rennes Tech,96 Avenue Victor Hugo,12500,Rennes
15075790748492,Marseille Consulting,100 Rue de Paris,25900,Marseille
16675263696923,Brest Consulting,194 Rue Nationale,49450,Brest
17714329814317,Annecy Services,197 Rue de Paris,64500,Annecy
19688042759676,Toulon Logistics,126 Rue du Général de Gaulle,91500,Toulon
21806475533626,Calais Tech,154 Avenue Victor Hugo,75500,Calais
22158649305494,Marseille Logistics,71 Rue de la Paix,51350,Marseille
23412772661527,Grenoble Services,215 Rue de Paris,38900,Grenoble
26060670202394,Quimper Group,70 Avenue Victor Hugo,11350,Quimper
27276983771370,Vannes Consulting,208 Avenue des Champs-Élysées,75400,Vannes
29378224529391,Metz Tech,188 Rue de la Paix,92500,Metz
31935952274312,Amiens Services,146 Rue Nationale,11500,Amiens
32694013584309,Rouen Tech,43 Avenue Victor Hugo,80100,Rouen
35104074927247,Perpignan Tech,87 Rue du Général de Gaulle,05200,Perpignan
52308740478567,Besançon Industries,156 Rue de Paris,11350,Besançon
52721301541202,Bastia Consulting,129 Rue des Fleurs,91500,Bastia
52809577153890,Angers Group,101 Rue de Paris,07000,Angers
54771634497881,Avignon Logistics,9 Avenue Victor Hugo,23900,Avignon
55684391399192,Lyon Logistics,163 Avenue des Champs-Élysées,34100,Lyon
56301570407756,Metz Logistics,67 Rue des Fleurs,19250,Metz
57198241195598,Toulouse Consulting,172 Place de la Liberté,35700,Toulouse
60362039920918,Boulogne-Billancourt Consulting,177 Place de la Liberté,25500,Boulogne-Billancourt
60918513369771,Dijon Group,85 Avenue des Champs-Élysées,16100,Dijon
62432903831124,Bastia Group,72 Rue Nationale,03800,Bastia
63323967074368,Vannes Industries,128 Place de la Liberté,59800,Vannes
65566249373348,Orléans Consulting,87 Rue des Fleurs,85300,Orléans
66067774000364,Saint-Denis Tech,44 Rue de la Paix,69250,Saint-Denis
70723576553460,Nice Logistics,110 Rue du Général de Gaulle,04500,Nice
72777356436755,Montpellier Logistics,10 Avenue Victor Hugo,73600,Montpellier
74570847696182,Amiens Industries,84 Avenue des Champs-Élysées,43800,Amiens
80767867500085,Nevers Services,188 Rue Nationale,64300,Nevers
86833018343743,Angers Logistics,112 Rue du Général de Gaulle,54250,Angers
89557732603090,Avignon Tech,19 Rue de la Paix,51450,Avignon
90444751464970,Tours Consulting,169 Avenue Victor Hugo,02000,Tours
91353961217109,Rouen Services,111 Rue des Fleurs,13800,Rouen
93575605313660,Perpignan Industries,219 Boulevard de la République,11300,Perpignan
94532380814008,Lille Services,52 Avenue des Champs-Élysées,38800,Lille
94904108537244,Nevers Tech,47 Avenue Victor Hugo,48700,Nevers
